0,"Anchorage, AK"
1,"Anchorage, AK"
2,"Anchorage, AK"
3,"Anchorage, AK"
4,"Anchorage, AK"
5,"Anchorage, AK"
6,"Anchorage, AK"
7,"Anchorage, AK"
8,"Anchorage, AK"
9,"Anchorage, AK"
10,"Anchorage, AK"
11,"Anchorage, AK"
12,"Anchorage, AK"
13,"Anchorage, AK"
14,"Anchorage, AK"
15,"Anchorage, AK"
16,"Anchorage, AK"
17,"Anchorage, AK"
18,"Anchorage, AK"
19,"Anchorage, AK"
20,"Anchorage, AK"
21,"Anchorage, AK"
22,"Anchorage, AK"
23,"Anchorage, AK"
24,"Anchorage, AK"
25,"Anchorage, AK"
26,"Anchorage, AK"
27,"Anchorage, AK"
28,"Anchorage, AK"
29,"Anchorage, AK"
30,"Anchorage, AK"
31,"Anchorage, AK"
32,"Anchorage, AK"
33,"Anchorage, AK"
34,"Anchorage, AK"
35,"Anchorage, AK"
36,"Anchorage, AK"
37,"Anchorage, AK"
38,"Anchorage, AK"
39,"Anchorage, AK"
40,"Anchorage, AK"
41,"Anchorage, AK"
42,"Anchorage, AK"
43,"Anchorage, AK"
44,"Anchorage, AK"
45,"Anchorage, AK"
46,"Anchorage, AK"
47,"Anchorage, AK"
48,"Anchorage, AK"
49,"Anchorage, AK"
50,"Anchorage, AK"
51,"Anchorage, AK"
52,"Anchorage, AK"
53,"Fairbanks North Star, AK"
54,"Fairbanks North Star, AK"
55,"Fairbanks North Star, AK"
56,"Fairbanks North Star, AK"
57,"Fairbanks North Star, AK"
58,"Fairbanks North Star, AK"
59,"Fairbanks North Star, AK"
60,"Fairbanks North Star, AK"
61,"Fairbanks North Star, AK"
62,"Fairbanks North Star, AK"
63,"Fairbanks North Star, AK"
64,"Fairbanks North Star, AK"
65,"Fairbanks North Star, AK"
66,"Fairbanks North Star, AK"
67,"Fairbanks North Star, AK"
68,"Fairbanks North Star, AK"
69,"Fairbanks North Star, AK"
70,"Fairbanks North Star, AK"
71,"Fairbanks North Star, AK"
72,"Fairbanks North Star, AK"
73,"Fairbanks North Star, AK"
74,"Fairbanks North Star, AK"
75,"Fairbanks North Star, AK"
76,"Fairbanks North Star, AK"
77,"Fairbanks North Star, AK"
78,"Fairbanks North Star, AK"
79,"Fairbanks North Star, AK"
80,"Fairbanks North Star, AK"
81,"Fairbanks North Star, AK"
82,"Fairbanks North Star, AK"
83,"Fairbanks North Star, AK"
84,"Fairbanks North Star, AK"
85,"Fairbanks North Star, AK"
86,"Fairbanks North Star, AK"
87,"Fairbanks North Star, AK"
88,"Fairbanks North Star, AK"
89,"Fairbanks North Star, AK"
90,"Fairbanks North Star, AK"
91,"Fairbanks North Star, AK"
92,"Fairbanks North Star, AK"
93,"Fairbanks North Star, AK"
94,"Fairbanks North Star, AK"
95,"Fairbanks North Star, AK"
96,"Juneau, AK"
97,"Juneau, AK"
98,"Juneau, AK"
99,"Juneau, AK"
100,"Juneau, AK"
101,"Juneau, AK"
102,"Juneau, AK"
103,"Juneau, AK"
104,"Juneau, AK"
105,"Juneau, AK"
106,"Juneau, AK"
107,"Juneau, AK"
108,"Juneau, AK"
109,"Juneau, AK"
110,"Juneau, AK"
111,"Juneau, AK"
112,"Juneau, AK"
113,"Juneau, AK"
114,"Juneau, AK"
115,"Ketchikan Gateway, AK"
116,"Ketchikan Gateway, AK"
117,"Ketchikan Gateway, AK"
118,"Ketchikan Gateway, AK"
119,"Ketchikan Gateway, AK"
120,"Ketchikan Gateway, AK"
121,"Ketchikan Gateway, AK"
122,"Ketchikan Gateway, AK"
123,"Ketchikan Gateway, AK"
124,"Ketchikan Gateway, AK"
125,"Ketchikan Gateway, AK"
126,"Ketchikan Gateway, AK"
127,"Ketchikan Gateway, AK"
128,"Ketchikan Gateway, AK"
129,"Ketchikan Gateway, AK"
130,"Ketchikan Gateway, AK"
131,"Ketchikan Gateway, AK"
132,"Ketchikan Gateway, AK"
133,"Ketchikan Gateway, AK"
134,"Ketchikan Gateway, AK"
135,"Kodiak Island, AK"
136,"Kodiak Island, AK"
137,"Kodiak Island, AK"
138,"Kodiak Island, AK"
139,"Kodiak Island, AK"
140,"Kodiak Island, AK"
141,"Kodiak Island, AK"
142,"Kodiak Island, AK"
143,"Kodiak Island, AK"
144,"Kodiak Island, AK"
145,"Kodiak Island, AK"
146,"Kodiak Island, AK"
147,"Kodiak Island, AK"
148,"Nome, AK"
149,"Nome, AK"
150,"Nome, AK"
151,"Nome, AK"
152,"Nome, AK"
153,"Nome, AK"
154,"Nome, AK"
155,"Nome, AK"
156,"Nome, AK"
157,"Nome, AK"
158,"Nome, AK"
159,"Nome, AK"
160,"Nome, AK"
161,"Wrangell-Petersburg, AK"
162,"Wrangell-Petersburg, AK"
163,"Kenai Peninsula, AK"
164,"Kenai Peninsula, AK"
165,"Kenai Peninsula, AK"
166,"Sitka, AK"
167,"Sitka, AK"
168,"Sitka, AK"
169,"Sitka, AK"
170,"Sitka, AK"
171,"Sitka, AK"
172,"Sitka, AK"
173,"Sitka, AK"
174,"Skagway-Hoonah-Angoon, AK"
175,"Wrangell-Petersburg, AK"
176,"Wrangell-Petersburg, AK"
177,"Wrangell-Petersburg, AK"
